Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-GPU-sequential  cvxqp3.mtx                     32     2048   0.002765   0.472870     0.050623  
SpMV-GPU-sequential  cyl6.mtx                       32     2048   0.001556   3.816300     0.467864  
SpMV-GPU-sequential  human_gene2.mtx                32     2048   0.002744   52.756359    6.589147  
SpMV-GPU-sequential  lhr10.mtx                      32     2048   0.002540   1.502706     0.183210  
SpMV-GPU-sequential  mawi_201512012345.mtx          32     2048   0.001478   352.969238   25.730736 
SpMV-GPU-sequential  rajat31.mtx                    32     2048   0.002908   127.664136   13.971895 
SpMV-GPU-sequential  spmsrtls.mtx                   32     2048   0.002867   0.828292     0.090661  
SpMV-GPU-sequential  af23560.mtx                    4      2048   0.002888   2.752551     0.335394  
SpMV-GPU-sequential  af_shell8.mtx                  4      2048   0.002601   57.292823    6.956558  
SpMV-GPU-sequential  CurlCurl_4.mtx                 4      2048   0.002847   89.016561    10.150763 
SpMV-GPU-sequential  cvxqp3.mtx                     4      2048   0.002724   0.479981     0.051384  
SpMV-GPU-sequential  cyl6.mtx                       4      2048   0.001594   3.725873     0.456778  
SpMV-GPU-sequential  human_gene2.mtx                4      2048   0.001537   94.179549    11.762807 
SpMV-GPU-sequential  lhr10.mtx                      4      2048   0.001540   2.478278     0.302152  
SpMV-GPU-sequential  mawi_201512012345.mtx          4      2048   0.001512   345.198535   25.164268 
SpMV-GPU-sequential  rajat31.mtx                    4      2048   0.002867   129.487909   14.171493 
SpMV-GPU-sequential  spmsrtls.mtx                   4      2048   0.001371   1.732376     0.189617  
SpMV-GPU-sequential  af23560.mtx                    64     2048   0.002621   3.032107     0.369458  
SpMV-GPU-sequential  af_shell8.mtx                  64     2048   0.002642   56.404562    6.848705  
SpMV-GPU-sequential  CurlCurl_4.mtx                 64     2048   0.002908   87.135929    9.936311  
SpMV-GPU-sequential  cvxqp3.mtx                     64     2048   0.002867   0.455982     0.048815  
SpMV-GPU-sequential  cyl6.mtx                       64     2048   0.002888   2.056167     0.252078  
SpMV-GPU-sequential  human_gene2.mtx                64     2048   0.001676   86.376203    10.788187 
SpMV-GPU-sequential  lhr10.mtx                      64     2048   0.001457   2.619832     0.319410  
SpMV-GPU-sequential  mawi_201512012345.mtx          64     2048   0.002990   174.520315   12.722174 
SpMV-GPU-sequential  rajat31.mtx                    64     2048   0.001546   240.110038   26.278266 
SpMV-GPU-sequential  spmsrtls.mtx                   64     2048   0.001580   1.502936     0.164504  
SpMV-GPU-sequential  af23560.mtx                    8      2048   0.002703   2.940225     0.358262  
SpMV-GPU-sequential  af_shell8.mtx                  8      2048   0.002929   50.882437    6.178202  
SpMV-GPU-sequential  CurlCurl_4.mtx                 8      2048   0.002847   89.016561    10.150763 
SpMV-GPU-sequential  cvxqp3.mtx                     8      2048   0.002806   0.465967     0.049884  
SpMV-GPU-sequential  cyl6.mtx                       8      2048   0.001498   3.963018     0.485851  
SpMV-GPU-sequential  human_gene2.mtx                8      2048   0.002580   56.105970    7.007505  
SpMV-GPU-sequential  lhr10.mtx                      8      2048   0.002621   1.455746     0.177485  
SpMV-GPU-sequential  mawi_201512012345.mtx          8      2048   0.001652   315.908152   23.029059 
SpMV-GPU-sequential  rajat31.mtx                    8      2048   0.001625   228.478082   25.005235 
SpMV-GPU-sequential  spmsrtls.mtx                   8      2048   0.002580   0.920325     0.100734  
SpMV-GPU-sequential  af23560.mtx                    128    256    0.052224   0.152200     0.018545  
SpMV-GPU-sequential  af_shell8.mtx                  128    256    2.210796   0.067404     0.008184  
SpMV-GPU-sequential  CurlCurl_4.mtx                 128    256    4.740526   0.053455     0.006096  
SpMV-GPU-sequential  cvxqp3.mtx                     128    256    0.012513   0.104480     0.011185  
